Size,vC,Memory,Network Bandwidth
Standard_D96as_v7,96,384,70000
Standard_D128as_v7,128,512,75000
Standard_D160as_v7,160,640,80000
Standard_D2a_v4,2,8,2000
Standard_D4a_v4,4,16,4000
Standard_D8a_v4,8,32,8000
Standard_D16a_v4,16,64,10000
Standard_D32a_v4,32,128,16000
Standard_D48a_v4,48,192,24000
Standard_D64a_v4,64,256,32000
Standard_D96a_v4,96,384,40000
Standard_DC2ads_v5,2,8,3000
Standard_DC4ads_v5,4,16,5000
Standard_DC8ads_v5,8,32,5000
Standard_DC16ads_v5,16,64,10000
Standard_DC32ads_v5,32,128,12500
Standard_DC48ads_v5,48,192,15000
Standard_DC64ads_v5,64,256,20000
Standard_DC96ads_v5,96,384,20000
Standard_DC2ads_v6,2,8,12500
Standard_DC4ads_v6,4,16,12500
Standard_DC8ads_v6,8,32,12500
Standard_DC16ads_v6,16,64,12500
Standard_DC32ads_v6,32,128,16000
Standard_DC48ads_v6,48,192,24000
Standard_DC64ads_v6,64,256,30000
Standard_DC96ads_v6,96,384,34000
Standard_DC2as_v5,2,8,3000
Standard_DC4as_v5,4,16,5000
Standard_DC8as_v5,8,32,5000
Standard_DC16as_v5,16,64,10000
Standard_DC32as_v5,32,128,12500
Standard_DC48as_v5,48,192,15000
Standard_DC64as_v5,64,256,20000
Standard_DC96as_v5,96,384,20000
Standard_DC2as_v6,2,8,12500
Standard_DC4as_v6,4,16,12500
Standard_DC8as_v6,8,32,12500
Standard_DC16as_v6,16,64,12500
Standard_DC32as_v6,32,128,16000
Standard_DC48as_v6,48,192,24000
Standard_DC64as_v6,64,256,30000
Standard_DC96as_v6,96,384,34000
Standard_DC2eds_v6,2,8,7000
Standard_DC4eds_v6,4,16,7000
Standard_DC8eds_v6,8,32,7000
Standard_DC16eds_v6,16,64,7000
Standard_DC32eds_v6,32,128,9000
Standard_DC48eds_v6,48,192,12500
Standard_DC64eds_v6,64,256,25000
Standard_DC96eds_v6,96,384,30000
Standard_DC128eds_v6,128,512,40000
Standard_DC2es_v6,2,8,12500
Standard_DC4es_v6,4,16,12500
Standard_DC8es_v6,8,32,12500
Standard_DC16es_v6,16,64,12500
Standard_DC32es_v6,32,128,16000
Standard_DC48es_v6,48,192,24000
Standard_DC64es_v6,64,256,30000
Standard_DC96es_v6,96,384,41000
Standard_DC128es_v6,128,512,54000
Standard_D2ds_v4,2,8,5000
Standard_D4ds_v4,4,16,10000
Standard_D8ds_v4,8,32,12500
Standard_D16ds_v4,16,64,12500
Standard_D32ds_v4,32,128,16000
Standard_D48ds_v4,48,192,24000
Standard_D64ds_v4,64,256,30000
Standard_D2ds_v5,2,8,12500
Standard_D4ds_v5,4,16,12500
Standard_D8ds_v5,8,32,12500
Standard_D16ds_v5,16,64,12500
Standard_D32ds_v5,32,128,16000
Standard_D48ds_v5,48,192,24000
Standard_D64ds_v5,64,256,30000
Standard_D96ds_v5,96,384,35000
Standard_D2ds_v6,2,8,12500
Standard_D4ds_v6,4,16,12500
Standard_D8ds_v6,8,32,12500
Standard_D16ds_v6,16,64,12500
Standard_D32ds_v6,32,128,16000
Standard_D48ds_v6,48,192,24000
Standard_D64ds_v6,64,256,30000
Standard_D96ds_v6,96,384,41000
Standard_D128ds_v6,128,512,54000
Standard_D192ds_v6,192,768,82000
Standard_D2ds_v7,2,8,16000
Standard_D4ds_v7,4,16,25000
Standard_D8ds_v7,8,32,25000
Standard_D16ds_v7,16,64,25000
Standard_D32ds_v7,32,128,25000
Standard_D48ds_v7,48,192,35000
Standard_D64ds_v7,64,256,45000
Standard_D96ds_v7,96,384,70000
Standard_D128ds_v7,128,512,85000
Standard_D192ds_v7,192,768,100000
Standard_D248ds_v7,248,992,150000
Standard_D372ds_v7,372,1488,200000
Standard_D2d_v4,2,8,5000
Standard_D4d_v4,4,16,10000
Standard_D8d_v4,8,32,12500
Standard_D16d_v4,16,64,12500
Standard_D32d_v4,32,128,16000
Standard_D48d_v4,48,192,24000
Standard_D64d_v4,64,256,30000
Standard_D2d_v5,2,8,12500
Standard_D4d_v5,4,16,12500
Standard_D8d_v5,8,32,12500
Standard_D16d_v5,16,64,12500
Standard_D32d_v5,32,128,16000
Standard_D48d_v5,48,192,24000
Standard_D64d_v5,64,256,30000
Standard_D96d_v5,96,384,35000
Standard_D2lds_v5,2,4,12500
Standard_D4lds_v5,4,8,12500
Standard_D8lds_v5,8,16,12500
Standard_D16lds_v5,16,32,12500
Standard_D32lds_v5,32,64,16000
Standard_D48lds_v5,48,96,24000
Standard_D64lds_v5,64,128,30000
Standard_D96lds_v5,96,192,35000
Standard_D2lds_v6,2,4,12500
Standard_D4lds_v6,4,8,12500
Standard_D8lds_v6,8,16,12500
Standard_D16lds_v6,16,32,12500
Standard_D32lds_v6,32,64,16000
Standard_D48lds_v6,48,96,24000
Standard_D64lds_v6,64,128,30000
Standard_D96lds_v6,96,192,41000
Standard_D128lds_v6,128,256,54000
Standard_D2lds_v7,2,4,16000
Standard_D4lds_v7,4,8,25000
Standard_D8lds_v7,8,16,25000
Standard_D16lds_v7,16,32,25000
Standard_D32lds_v7,32,64,25000
Standard_D48lds_v7,48,96,35000
Standard_D64lds_v7,64,126,45000
Standard_D96lds_v7,96,384,70000
Standard_D128lds_v7,128,256,85000
Standard_D192lds_v7,192,384,100000
Standard_D248lds_v7,248,496,150000
Standard_D2ls_v5,2,4,12500
Standard_D4ls_v5,4,8,12500
Standard_D8ls_v5,8,16,12500
Standard_D16ls_v5,16,32,12500
Standard_D32ls_v5,32,64,16000
Standard_D48ls_v5,48,96,24000
Standard_D64ls_v5,64,128,30000
Standard_D96ls_v5,96,192,35000
Standard_D2ls_v6,2,4,12500
Standard_D4ls_v6,4,8,12500
Standard_D8ls_v6,8,16,12500
Standard_D16ls_v6,16,32,12500
Standard_D32ls_v6,32,64,16000
Standard_D48ls_v6,48,96,24000
Standard_D64ls_v6,64,128,30000
Standard_D96ls_v6,96,192,41000
Standard_D128ls_v6,128,256,54000
Standard_D2ls_v7,2,4,16000
Standard_D4ls_v7,4,8,25000
Standard_D8ls_v7,8,16,25000
Standard_D16ls_v7,16,32,25000
Standard_D32ls_v7,32,64,25000
Standard_D48ls_v7,48,96,35000
Standard_D64ls_v7,64,126,45000
Standard_D96ls_v7,96,384,70000
Standard_D128ls_v7,128,256,85000
Standard_D192ls_v7,192,384,100000
Standard_D248ls_v7,248,496,150000
Standard_D2pds_v5,2,8,12500
Standard_D4pds_v5,4,16,12500
Standard_D8pds_v5,8,32,12500
Standard_D16pds_v5,16,64,12500
Standard_D32pds_v5,32,128,16000
Standard_D48pds_v5,48,192,24000
Standard_D64pds_v5,64,208,40000
Standard_D2pds_v6,2,8,12500
Standard_D4pds_v6,4,16,12500
Standard_D8pds_v6,8,32,15000
Standard_D16pds_v6,16,64,15000
Standard_D32pds_v6,32,128,20000
Standard_D48pds_v6,48,192,30000
Standard_D64pds_v6,64,256,40000
Standard_D96pds_v6,96,384,60000
Standard_D2plds_v5,2,4,12500
Standard_D4plds_v5,4,8,12500
Standard_D8plds_v5,8,16,12500
Standard_D16plds_v5,16,32,12500
Standard_D32plds_v5,32,64,16000
Standard_D48plds_v5,48,96,24000
Standard_D64plds_v5,64,128,40000
Standard_D2plds_v6,2,4,12500
Standard_D4plds_v6,4,8,12500
Standard_D8plds_v6,8,16,15000
Standard_D16plds_v6,16,32,15000
Standard_D32plds_v6,32,64,20000
Standard_D48plds_v6,48,96,30000
Standard_D64plds_v6,64,128,40000
Standard_D96plds_v6,96,192,60000
Standard_D2pls_v5,2,4,12500
Standard_D4pls_v5,4,8,12500
Standard_D8pls_v5,8,16,12500
Standard_D16pls_v5,16,32,12500
Standard_D32pls_v5,32,64,16000
Standard_D48pls_v5,48,96,24000
Standard_D64pls_v5,64,128,40000
Standard_D2pls_v6,2,4,12500
Standard_D4pls_v6,4,8,12500
Standard_D8pls_v6,8,16,15000
Standard_D16pls_v6,16,32,15000
Standard_D32pls_v6,32,64,20000
Standard_D48pls_v6,48,96,30000
Standard_D64pls_v6,64,128,40000
Standard_D96pls_v6,96,192,60000
Standard_D2ps_v5,2,8,12500
Standard_D4ps_v5,4,16,12500
Standard_D8ps_v5,8,32,12500
Standard_D16ps_v5,16,64,12500
Standard_D32ps_v5,32,128,16000
Standard_D48ps_v5,48,192,24000
Standard_D64ps_v5,64,208,40000
Standard_D2ps_v6,2,8,12500
Standard_D4ps_v6,4,16,12500
Standard_D8ps_v6,8,32,15000
Standard_D16ps_v6,16,64,15000
Standard_D32ps_v6,32,128,20000
Standard_D48ps_v6,48,192,30000
Standard_D64ps_v6,64,256,40000
Standard_D96ps_v6,96,384,60000
Standard_DS1_v2,1,3,750
Standard_DS2_v2,2,7,1500
Standard_DS3_v2,4,14,3000
Standard_DS4_v2,8,28,6000
Standard_DS5_v2,16,56,12000
Standard_D2s_v3,2,8,1000
Standard_D4s_v3,4,16,2000
Standard_D8s_v3,8,32,2000
Standard_D16s_v3,16,64,2000
Standard_D32s_v3,32,128,16000
Standard_D48s_v3,48,192,24000
Standard_D64s_v3,64,256,30000
Standard_D2s_v4,2,8,5000
Standard_D4s_v4,4,16,10000
Standard_D8s_v4,8,32,12500
Standard_D16s_v4,16,64,12500
Standard_D32s_v4,32,128,16000
Standard_D48s_v4,48,192,24000
Standard_D64s_v4,64,256,30000
Standard_D2s_v5,2,8,12500
Standard_D4s_v5,4,16,12500
Standard_D8s_v5,8,32,12500
Standard_D16s_v5,16,64,12500
Standard_D32s_v5,32,128,16000
Standard_D48s_v5,48,192,24000
Standard_D64s_v5,64,256,30000
Standard_D96s_v5,96,384,35000
Standard_D2s_v6,2,8,12500
Standard_D4s_v6,4,16,12500
Standard_D8s_v6,8,32,12500
Standard_D16s_v6,16,64,12500
Standard_D32s_v6,32,128,16000
Standard_D48s_v6,48,192,24000
Standard_D64s_v6,64,256,30000
Standard_D96s_v6,96,384,41000
Standard_D128s_v6,128,512,54000
Standard_D192s_v6,192,768,82000
Standard_D2s_v7,2,8,16000
Standard_D4s_v7,4,16,25000
Standard_D8s_v7,8,32,25000
Standard_D16s_v7,16,64,25000
Standard_D32s_v7,32,128,25000
Standard_D48s_v7,48,192,35000
Standard_D64s_v7,64,256,45000
Standard_D96s_v7,96,384,70000
Standard_D128s_v7,128,512,85000
Standard_D192s_v7,192,768,100000
Standard_D248s_v7,248,992,150000
Standard_D372s_v7,372,1488,200000
Standard_D1_v2,1,3,750
Standard_D2_v2,2,7,1500
Standard_D3_v2,4,14,3000
Standard_D4_v2,8,28,6000
Standard_D5_v2,16,56,12000
Standard_D2_v3,2,8,1000
Standard_D4_v3,4,16,2000
Standard_D8_v3,8,32,2000
Standard_D16_v3,16,64,2000
Standard_D32_v3,32,128,16000
Standard_D48_v3,48,192,24000
Standard_D64_v3,64,256,30000
Standard_D2_v4,2,8,5000
Standard_D4_v4,4,16,10000
Standard_D8_v4,8,32,12500
Standard_D16_v4,16,64,12500
Standard_D32_v4,32,128,16000
Standard_D48_v4,48,192,24000
Standard_D64_v4,64,256,30000
Standard_D2_v5,2,8,12500
Standard_D4_v5,4,16,12500
Standard_D8_v5,8,32,12500
Standard_D16_v5,16,64,12500
Standard_D32_v5,32,128,16000
Standard_D48_v5,48,192,24000
Standard_D64_v5,64,256,30000
Standard_D96_v5,96,384,35000
Standard_NC36ds_xl_RTXPRO6000BSE_v6,36,24,22500
Standard_NC72ds_xl_RTXPRO6000BSE_v6,72,48,45000
