"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.5360 hourly","$1.0161 hourly","$0.6456 hourly","$3.0080 hourly","$2.4881 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","EBS only","10 Gigabit","$1.5360 hourly","$0.9680 hourly","$0.5982 hourly","$3.0080 hourly","$2.4400 hourly"
"R6IDN Quadruple Extra Large","r6idn.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 50 Gigabit","$1.5631 hourly","$0.9848 hourly","$0.2621 hourly","$2.2991 hourly","$1.7208 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","EBS only","10 Gigabit","$1.5910 hourly","$1.0080 hourly","$0.6129 hourly","$3.0910 hourly","$2.6640 hourly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$1.6128 hourly","$1.0164 hourly","$0.4622 hourly","$3.0848 hourly","$2.4884 hourly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6128 hourly","$1.0669 hourly","$0.6422 hourly","$3.0848 hourly","$2.5389 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.6128 hourly","$1.0161 hourly","$0.2810 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","$1.6240 hourly","$1.0231 hourly","$0.5594 hourly","$2.3600 hourly","$1.7591 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.6320 hourly","$1.0282 hourly","$0.5010 hourly","unavailable","unavailable"
"C7A Eight Extra Large","c7a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6422 hourly","$1.0863 hourly","$0.5852 hourly","$3.1142 hourly","$2.5583 hourly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.6480 hourly","$1.0380 hourly","$0.2463 hourly","$3.1200 hourly","$2.5100 hourly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","237 GB                 NVMe SSD","Up to 25 Gigabit","$1.6672 hourly","$1.0259 hourly","$0.4614 hourly","$2.0353 hourly","$1.3939 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","240 GB                 SSD","Up to 10 Gigabit","$1.6680 hourly","$1.0280 hourly","$0.2725 hourly","$2.0360 hourly","$1.3960 hourly"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","1600 GB                 (2 * 800 GB SSD)","High","$1.7050 hourly","$0.8480 hourly","$0.4570 hourly","$1.9460 hourly","$1.1310 hourly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$1.7086 hourly","$1.0764 hourly","$0.2929 hourly","unavailable","unavailable"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","EBS only","15 Gigabit","$1.7136 hourly","$1.1335 hourly","$0.4040 hourly","unavailable","unavailable"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","900 GB                 NVMe SSD","12 Gigabit","$1.7280 hourly","$1.0890 hourly","$0.3960 hourly","$3.3840 hourly","$2.7450 hourly"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 NVMe SSD","15 Gigabit","$1.7340 hourly","$1.0924 hourly","$0.4343 hourly","$3.2060 hourly","$2.5644 hourly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.7342 hourly","$1.1472 hourly","$0.5603 hourly","unavailable","unavailable"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.5723 hourly","$3.2800 hourly","$2.6110 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.6849 hourly","$3.2800 hourly","$2.6110 hourly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.8144 hourly","$1.2002 hourly","$0.5570 hourly","$3.2864 hourly","$2.6722 hourly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.8144 hourly","$1.1431 hourly","$0.6945 hourly","$3.2864 hourly","$2.6151 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$1.8360 hourly","$1.2145 hourly","$0.6106 hourly","$4.0440 hourly","$3.4225 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.4078 hourly","unavailable","unavailable"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.6015 hourly","unavailable","unavailable"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$1.8480 hourly","$1.1640 hourly","$0.7117 hourly","$4.0560 hourly","$3.3720 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.8480 hourly","$1.1592 hourly","$0.5276 hourly","unavailable","unavailable"
"M7A Eight Extra Large","m7a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.8547 hourly","$1.2269 hourly","$0.8177 hourly","$3.3267 hourly","$2.6989 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","8000 GB                 (4 * 2000 GB HDD)","10 Gigabit","$1.8720 hourly","$1.2720 hourly","$0.5125 hourly","$3.3440 hourly","$2.7440 hourly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$1.8984 hourly","$1.1960 hourly","$0.5299 hourly","$3.3704 hourly","$2.6680 hourly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","EBS only","25 Gigabit","$1.9040 hourly","$1.2000 hourly","$0.8626 hourly","$3.3760 hourly","$2.6720 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","EBS only","50 Gigabit","$1.9440 hourly","$1.2250 hourly","$0.7041 hourly","$3.6000 hourly","$2.8810 hourly"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.9584 hourly","$1.2955 hourly","$0.4558 hourly","unavailable","unavailable"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 25 Gigabit","$1.9679 hourly","$1.2397 hourly","$0.6280 hourly","unavailable","unavailable"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","EBS only","50 Gigabit","$1.9820 hourly","$1.2487 hourly","$0.5447 hourly","$3.0860 hourly","$2.3527 hourly"
