name,series,family,description,location,region,regionLocation,regionLocationLong,regionLocationCountryCode,regionCfe,regionCo2Kwh,regionLowCo2,regionLat,regionLng,regionPublicIpv4Addr,zoneCount,zones,vCpus,sharedCpu,intel,amd,arm,cpuPlatformCount,cpuPlatform,cpuBaseClock,cpuTurboClock,cpuSingleMaxTurboClock,availableCpuPlatformCount,availableCpuPlatform,coremarkScore,standardDeviation,sampleCount,memoryGB,acceleratorCount,acceleratorType,disks,disksSizeGb,localSsd,bandwidth,tier1,sap,saps,hana,sud,spot,hour,hourSpot,month,month1yCud,month3yCud,monthSpot,monthSles,monthSlesSap,monthSlesSap1yCud,monthSlesSap3yCud,monthRhel,monthRhel1yCud,monthRhel3yCud,monthRhelSap,monthRhelSap1yCud,monthRhelSap3yCud,monthWindows
c2d-standard-32,c2d,Compute-optimized,"32 vCPUs, 128 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",32.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",709399.0,0.59,160.0,128.0,"","",128.0,524288.0,1.0,32.0,50.0,1.0,56714.0,0.0,0.0,1.0,1.452768,0.363904,1060.52064,668.096,477.17472,265.64992,80.3,299.3,119.939,107.748,252.288,252.288,252.288,379.6,379.6,379.6,1074.56
c2d-standard-4,c2d,Compute-optimized,"4 vCPUs, 16 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",4.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",86943.0,0.79,1176.0,16.0,"","",128.0,263168.0,1.0,10.0,0.0,1.0,7089.0,0.0,0.0,1.0,0.181596,0.045488,132.56508,83.512,59.64684,33.20624,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
c2d-standard-56,c2d,Compute-optimized,"56 vCPUs, 224 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",56.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",1244451.0,0.48,92.0,224.0,"","",128.0,524288.0,1.0,32.0,50.0,1.0,99250.0,0.0,0.0,1.0,2.542344,0.636832,1855.91112,1169.168,835.05576,464.88736,80.3,299.3,119.939,107.748,441.504,441.504,441.504,664.3,664.3,664.3,1880.48
c2d-standard-8,c2d,Compute-optimized,"8 vCPUs, 32 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",8.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",177921.0,0.7,600.0,32.0,"","",128.0,263168.0,1.0,16.0,0.0,1.0,14179.0,0.0,0.0,1.0,0.363192,0.090976,265.13016,167.024,119.29368,66.41248,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
c3-highcpu-176,c3,General-purpose,"176 vCPUs, 352 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",176.0,0,1.0,0.0,0.0,1.0,"Intel Sapphire Rapids",1.9,3.0,3.3,1.0,"Intel Sapphire Rapids",3388373.0,0.62,28.0,352.0,"","",128.0,524288.0,0.0,100.0,200.0,0.0,"",0.0,0.0,1.0,7.484576,1.144704,5463.74048,3442.23616,2458.72176,835.63392,80.3,299.3,119.939,107.748,1233.408,1233.408,1233.408,1927.2,1927.2,1927.2,5910.08
c3-highcpu-192-metal,c3,General-purpose,"Compute Optimized Bare Metal: 192 vCPUs, 512 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,2.0,"us-east1-c, us-east1-d",192.0,0,1.0,0.0,0.0,1.0,"Intel Sapphire Rapids",1.9,3.0,3.3,1.0,"Intel Sapphire Rapids","","","",512.0,"","",32.0,524288.0,0.0,100.0,200.0,0.0,"",0.0,0.0,1.0,8.669056,1.336704,6328.41088,3986.99136,2847.8176,975.79392,80.3,299.3,119.939,107.748,1345.536,1345.536,1345.536,2102.4,2102.4,2102.4,6447.36
c3-highcpu-22,c3,General-purpose,"22 vCPUs, 44 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",22.0,0,1.0,0.0,0.0,1.0,"Intel Sapphire Rapids",1.9,3.0,3.3,1.0,"Intel Sapphire Rapids",441164.0,0.29,224.0,44.0,"","",128.0,263168.0,0.0,23.0,0.0,0.0,"",0.0,0.0,1.0,0.935572,0.143088,682.96756,430.27952,307.34022,104.45424,80.3,299.3,119.939,107.748,173.448,173.448,173.448,260.975,260.975,260.975,738.76
c3-highcpu-4,c3,General-purpose,"4 vCPUs, 8 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",4.0,0,1.0,0.0,0.0,1.0,"Intel Sapphire Rapids",1.9,3.0,3.3,1.0,"Intel Sapphire Rapids",80641.0,0.47,1176.0,8.0,"","",128.0,263168.0,0.0,23.0,0.0,0.0,"",0.0,0.0,1.0,0.170104,0.026016,124.17592,78.23264,55.88004,18.99168,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
c3-highcpu-44,c3,General-purpose,"44 vCPUs, 88 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",44.0,0,1.0,0.0,0.0,1.0,"Intel Sapphire Rapids",1.9,3.0,3.3,1.0,"Intel Sapphire Rapids",880832.0,0.87,112.0,88.0,"","",128.0,524288.0,0.0,32.0,50.0,0.0,"",0.0,0.0,1.0,1.871144,0.286176,1365.93512,860.55904,614.68044,208.90848,80.3,299.3,119.939,107.748,346.896,346.896,346.896,521.95,521.95,521.95,1477.52
c3-highcpu-8,c3,General-purpose,"8 vCPUs, 16 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",8.0,0,1.0,0.0,0.0,1.0,"Intel Sapphire Rapids",1.9,3.0,3.3,1.0,"Intel Sapphire Rapids",160329.0,0.48,600.0,16.0,"","",128.0,263168.0,0.0,23.0,0.0,0.0,"",0.0,0.0,1.0,0.340208,0.052032,248.35184,156.46528,111.76008,37.98336,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
